USA
哈佛大学,1
芝加哥大学,3
耶鲁大学,1
杜克大学,2
约翰霍普金斯大学,2
达特茅斯学院,1
美国西北大学,1
康奈尔大学,1
莱斯大学,2
范德堡大学,2
华盛顿大学圣路易斯分校,4
乔治城大学,1
埃默里大学,9
加州大学伯克利分校,5
南加州大学,10
加州大学洛杉矶分校,16
卡耐基梅隆大学,3
弗吉尼亚大学,14
威克弗里斯特大学,3
塔夫茨大学,1
北卡罗来纳州大学教堂山分校,17
纽约大学,23
波士顿学院,8
威廉玛丽学院,3
罗彻斯特大学,2
布兰戴斯大学,7
佐治亚理工学院,4
凯斯西储大学,11
加州大学圣塔芭芭拉分校,50
波士顿大学,8
东北大学,15
杜兰大学,4
伦斯勒理工学院,11
加州大学欧文分校,45
加州大学圣地亚哥分校,39
佛罗里达大学,2
利哈伊大学,1
加州大学戴维斯分校,43
迈阿密大学,1
威斯康星大学-麦迪逊分校,35
维拉诺瓦大学,2
伊利诺伊大学香槟分校,30
宾夕法尼亚州立大学,48
俄亥俄州立大学-哥伦布分校,66
华盛顿大学,26
乔治华盛顿大学,7
德克萨斯大学奥斯汀分校,1
普渡大学-西拉法叶分校,17
康涅狄格大学,30
福特汉姆大学,23
雪域大学,13
斯沃斯莫尔学院,1
韦尔斯利学院,1
卡尔顿学院,1
戴维森学院,1
科尔比学院,3
科尔盖特大学,1
瓦萨尔学院,4
格林奈尔学院,1
哈弗福德学院,1
贝茨学院,1
科罗拉多大学,1
里士满大学,2
凯尼恩学院,1
麦卡利斯特学院,3
欧柏林大学,2
斯克里普斯学院,3
罗德岛设计学院,1
芝加哥艺术学院,4
美国加州艺术学院,3
艺术中心设计学院,3
纽约视觉艺术学院,5
普拉特学院,1
帕森设计学院,1
萨凡纳艺术设计学院,1
克利夫兰艺术学院,1
马里兰艺术学院,6
Canada
麦吉尔大学,23
多伦多大学,2
英属哥伦比亚大学,6
皇后大学,9
滑铁卢大学,2
维多利亚大学,1
UK
录取人数
剑桥大学,4
牛津大学,2
圣安德鲁斯大学,6
帝国理工学院,9
杜伦大学,14
兰卡斯特大学,2
伦敦大学学院,22
拉夫堡大学,2
华威大学,17
利兹大学,3
伦敦政治经济大学,5
巴斯大学,4
东安格利亚大学,1
艾克赛特大学,4
伯明翰大学,2
布里斯托大学,6
约克大学,4
诺丁汉大学,1
萨里大学,1
格拉斯哥大学,2
谢菲尔德大学,4
Other
密涅瓦大学,1
阿姆斯特丹大学,1
悉尼大学,1
香港城市大学,1
香港科技大学,1
