US National university
芝加哥大学,3
耶鲁大学,1
哥伦比亚大学,1
杜克大学,1
康奈尔大学,3
莱斯大学,2
华盛顿大学圣路易斯分校,6
艾莫利大学,3
加州大学伯克利分校,8
南加州大学,10
卡耐基梅隆大学,3
加州大学洛杉矶分校,9
弗吉尼亚大学,9
密歇根大学安娜堡分校,1
威克弗里斯特大学,1
北卡罗来纳州大学教堂山分校,1
波士顿学院,7
威廉玛丽学院,2
罗彻斯特大学,7
布兰戴斯大学,5
佐治亚理工学院,3
纽约大学,13
凯斯西储大学,7
加州大学圣塔芭芭拉分校,33
波士顿大学 ,8
东北大学,28
伦斯勒理工学院,5
杜兰大学,7
加州大学欧文分校,58
利哈伊大学,1
加州大学戴维斯分校,47
加州大学圣地亚哥分校,36
伊利诺伊大学香槟分校,38
迈阿密大学,4
威斯康星大学-麦迪逊分校,14
宾夕法尼亚州立大学,55
佩珀代因大学,1
维拉诺瓦大学,2
俄亥俄州立大学-哥伦布分校,78
华盛顿大学,34
乔治华盛顿大学,8
南方卫理公会大学,2
德克萨斯大学奥斯汀分校,2
福特汉姆大学,26
普渡大学-西拉法叶分校,26
雪域大学,13
康涅狄格大学,32
马里兰大学,3
伍斯特理工学院,4
匹兹堡大学,11
罗格斯大学新布伦瑞克分校,30
明尼苏达大学-双子城分校,2
美国大学,1
克拉克大学,2
马萨诸塞大学阿默斯特分校,7
弗吉尼亚理工学院,5
迈阿密大学牛津分校,7
加州大学-圣克鲁斯分校,8
密歇根州立大学,8
爱荷华大学,12
宾厄姆顿大学,4
印第安纳大学布卢明顿分校,14
丹佛大学,2
圣地亚哥大学,2
科罗拉多大学博尔德分校,1
德雷塞尔大学,3
石溪大学,7
芝加哥洛约拉大学,1
布法罗大学,1
罗德岛设计学院,2
芝加哥艺术学院,3
美国加州艺术学院,1
加州艺术学院,3
艺术中心设计学院,2
纽约视觉艺术学院,3
奥蒂斯艺术设计学院,3
普拉特学院,10
帕森设计学院,2
 萨凡纳艺术设计学院,3
旧金山艺术大学,1
罗斯-霍曼理工学院,4
罗彻斯特理工学院,4
巴黎政治学院,1
LAC
卡尔顿学院,1
戴维森学院,1
科尔比学院,2
科尔盖特大学,2
哈弗福德学院,2
瓦萨尔学院,2
格林奈尔学院,1
卫斯理大学,1
麦卡利斯特学院,3
欧柏林大学,2
巴纳德学院,1
贝茨学院,1
凯尼恩学院,1
布林莫尔学院,1
巴克内尔大学,4
圣十字学院,1
拉斐特学院,1
山霍利约克大学,4
斯基德莫尔大学,2
三一学院,1
迪金森大学,2
西方学院,3
富兰克林与马歇尔学院,5
巴德学院,5
迪堡大学,1
弗曼大学,1
圣劳伦斯大学,2
圣奥拉夫学院,2
贝洛伊特学院,3
惠顿学院,1
霍巴特和威廉史密斯学院,1
里德学院,2
Canada
多伦多大学,27
滑铁卢大学,4
英属哥伦比亚大学,12
麦吉尔大学,8
西蒙菲莎大学,1
麦克马斯特大学,2
渥太华大学,3
皇后大学,5
UK
剑桥大学,3
牛津大学,3
圣安德鲁斯大学,18
杜伦大学,16
帝国理工学院,12
伦敦大学学院,34
华威大学,26
伦敦政治经济大学,6
兰卡斯特大学,3
艾克赛特大学,5
拉夫堡大学,2
巴斯大学,10
利兹大学,4
萨里大学,2
东安格利亚大学,6
伯明翰大学,3
约克大学,9
萨塞克斯大学,2
布里斯托大学,13
诺丁汉大学,1
南安普顿大学,7
肯特大学,2
谢菲尔德大学,3
莱斯特大学,2
伦敦国王学院,9
格拉斯哥大学,4
埃塞克斯大学,1
雷丁大学,1
曼切斯特大学,30
爱丁堡大学,21
利物浦大学,3
基尔大学,1
阿伯丁大学,3
卡迪夫大学,1
思克莱德大学,1
伦敦城市大学,2
金匠学院,1
布鲁内尔大学,1
诺丁汉特伦特大学,2
牛津布鲁克斯大学,1
谢菲尔德哈勒姆大学,1
伯明翰城市大学,1
